      #Energy        TDOS
     -22.65961       0.00000
     -22.64861       0.00000
     -22.63761       0.00000
     -22.62661       0.00000
     -22.61461       0.00000
     -22.60361       0.00000
     -22.59261       0.00000
     -22.58161       0.00000
     -22.57061       0.00000
     -22.55961       0.00000
     -22.54861       0.00000
     -22.53761       0.00000
     -22.52561       0.00000
     -22.51461       0.00000
     -22.50361       0.00000
     -22.49261       0.00000
     -22.48161       0.00000
     -22.47061       0.00000
     -22.45961       0.00000
     -22.44861       0.00000
     -22.43661       0.00000
     -22.42561       0.00000
     -22.41461       0.00000
     -22.40361       0.00000
     -22.39261       0.00000
     -22.38161       0.00000
     -22.37061       0.00000
     -22.35961       0.00000
     -22.34761       0.00000
     -22.33661       0.00000
     -22.32561       0.00000
     -22.31461       0.00000
     -22.30361       0.00000
     -22.29261       0.00000
     -22.28161       0.00000
     -22.27061       0.00000
     -22.25861       0.00000
     -22.24761       0.00000
     -22.23661       0.00000
     -22.22561       0.00000
     -22.21461       0.00000
     -22.20361       0.00000
     -22.19261       0.00000
     -22.18161       0.00000
     -22.16961       0.00000
     -22.15861       0.00000
     -22.14761       0.00000
     -22.13661       0.00000
     -22.12561       0.00000
     -22.11461       0.00000
     -22.10361       0.00000
     -22.09261       0.00000
     -22.08061       0.00000
     -22.06961       0.00000
     -22.05861       0.00000
     -22.04761       0.00000
     -22.03661       0.00000
     -22.02561       0.00000
     -22.01461       0.00000
     -22.00361       0.00000
     -21.99261       0.00000
     -21.98061       0.00000
     -21.96961       0.00000
     -21.95861       0.00000
     -21.94761       0.00000
     -21.93661       0.00000
     -21.92561       0.00000
     -21.91461       0.00000
     -21.90361       0.00000
     -21.89161       0.00000
     -21.88061       0.00000
     -21.86961       0.00000
     -21.85861       0.00000
     -21.84761       0.00000
     -21.83661       0.00000
     -21.82561       0.00000
     -21.81461       0.00000
     -21.80261       0.00000
     -21.79161       0.00000
     -21.78061       0.00000
     -21.76961       0.00000
     -21.75861       0.00000
     -21.74761       0.00000
     -21.73661       0.00000
     -21.72561       0.00000
     -21.71361       0.00000
     -21.70261       0.00000
     -21.69161       0.00000
     -21.68061       0.00000
     -21.66961       0.00000
     -21.65861       0.00000
     -21.64761       0.00000
     -21.63661       0.00000
     -21.62461       0.00000
     -21.61361       0.00000
     -21.60261       0.00000
     -21.59161       0.00000
     -21.58061       0.00000
     -21.56961       0.00000
     -21.55861       0.00000
     -21.54761       0.00000
     -21.53561       0.00000
     -21.52461       0.00000
     -21.51361       0.00000
     -21.50261       0.00000
     -21.49161       0.00000
     -21.48061       0.00000
     -21.46961       0.00000
     -21.45861       0.00000
     -21.44661       0.00000
     -21.43561       0.00000
     -21.42461       0.00000
     -21.41361       0.00000
     -21.40261       0.00000
     -21.39161       0.00000
     -21.38061       0.00000
     -21.36961       0.00000
     -21.35761       0.00000
     -21.34661       0.00000
     -21.33561       0.00000
     -21.32461       0.00000
     -21.31361       0.00000
     -21.30261       0.00000
     -21.29161       0.00000
     -21.28061       0.00000
     -21.26861       0.00000
     -21.25761       0.00000
     -21.24661       0.00000
     -21.23561       0.00000
     -21.22461       0.00000
     -21.21361       0.00000
     -21.20261       0.00000
     -21.19161       0.00000
     -21.17961       0.00000
     -21.16861       0.00000
     -21.15761       0.00000
     -21.14661       0.00000
     -21.13561       0.00000
     -21.12461       0.00000
     -21.11361       0.00000
     -21.10261       0.00000
     -21.09061       0.00000
     -21.07961       0.00000
     -21.06861       0.00000
     -21.05761       0.00000
     -21.04661       0.00000
     -21.03561       0.00000
     -21.02461       0.00000
     -21.01361       0.00000
     -21.00261       0.00000
     -20.99061       0.00000
     -20.97961       0.00000
     -20.96861       0.00000
     -20.95761       0.00000
     -20.94661       0.00000
     -20.93561       0.00000
     -20.92461       0.00000
     -20.91361       0.00000
     -20.90161       0.00000
     -20.89061       0.00000
     -20.87961       0.00000
     -20.86861       0.00000
     -20.85761       0.00000
     -20.84661       0.00000
     -20.83561       0.00000
     -20.82461       0.00000
     -20.81261       0.00000
     -20.80161       0.00000
     -20.79061       0.00000
     -20.77961       0.00000
     -20.76861       0.00000
     -20.75761       0.00000
     -20.74661       0.00000
     -20.73561       0.00000
     -20.72361       0.00000
     -20.71261       0.00000
     -20.70161       0.00000
     -20.69061       0.00000
     -20.67961       0.00000
     -20.66861       0.00000
     -20.65761       0.00000
     -20.64661       0.00000
     -20.63461       0.00000
     -20.62361       0.00000
     -20.61261       0.00000
     -20.60161       0.00000
     -20.59061       0.00000
     -20.57961       0.00000
     -20.56861       0.00000
     -20.55761       0.00000
     -20.54561       0.00000
     -20.53461       0.00000
     -20.52361       0.00000
     -20.51261       0.00000
     -20.50161       0.00000
     -20.49061       0.00000
     -20.47961       0.00000
     -20.46861       0.00000
     -20.45661       0.00000
     -20.44561       0.00000
     -20.43461       0.00000
     -20.42361       0.00000
     -20.41261       0.00000
     -20.40161       0.00000
     -20.39061       0.00000
     -20.37961       0.00000
     -20.36761       0.00000
     -20.35661       0.00000
     -20.34561       0.00000
     -20.33461       0.00000
     -20.32361       0.00000
     -20.31261       0.00000
     -20.30161       0.00000
     -20.29061       0.00000
     -20.27861       0.00000
     -20.26761       0.00000
     -20.25661       0.00000
     -20.24561       0.00000
     -20.23461       0.00000
     -20.22361       0.00000
     -20.21261       0.00000
     -20.20161       0.00000
     -20.18961       0.00000
     -20.17861       0.00000
     -20.16761       0.00000
     -20.15661       0.00000
     -20.14561       0.00000
     -20.13461       0.00000
     -20.12361       0.00000
     -20.11261       0.00000
     -20.10061       0.00000
     -20.08961       0.00000
     -20.07861       0.00000
     -20.06761       0.00000
     -20.05661       0.00000
     -20.04561       0.00000
     -20.03461       0.00000
     -20.02361       0.00000
     -20.01261       0.00000
     -20.00061       0.00000
     -19.98961       0.00000
     -19.97861       0.00000
     -19.96761       0.00000
     -19.95661       0.00000
     -19.94561       0.00000
     -19.93461       0.00000
     -19.92361       0.00000
     -19.91161       0.00000
     -19.90061       0.00000
     -19.88961       0.00000
     -19.87861       0.00000
     -19.86761       0.00000
     -19.85661       0.00000
     -19.84561       0.00000
     -19.83461       0.00000
     -19.82261       0.00000
     -19.81161       0.00000
     -19.80061       0.00000
     -19.78961       0.00000
     -19.77861       0.00000
     -19.76761       0.00000
     -19.75661       0.00000
     -19.74561       0.00000
     -19.73361       0.00000
     -19.72261       0.00000
     -19.71161       0.00000
     -19.70061       0.00000
     -19.68961       0.00000
     -19.67861       0.00000
     -19.66761       0.00000
     -19.65661       0.00000
     -19.64461       0.00000
     -19.63361       0.00000
     -19.62261       0.00000
     -19.61161       0.00000
     -19.60061       0.00000
     -19.58961       0.00000
     -19.57861       0.00000
     -19.56761       0.00000
     -19.55561       0.00000
     -19.54461       0.00000
     -19.53361       0.00000
     -19.52261       0.00000
     -19.51161       0.00000
     -19.50061       0.00000
     -19.48961       0.00000
     -19.47861       0.00000
     -19.46661       0.00000
     -19.45561       0.00000
     -19.44461       0.00000
     -19.43361       0.00000
